count,share_percent,title,summary
86,8.3984,"Steady Spotter","Your answers leaned most towards Zoom, with Focus close behind."
79,7.7148,"Steady Wayfinder","Your answers leaned most towards Vision, with Focus close behind."
71,6.9336,"Rocket Maker","Your answers leaned most towards Ideas, with Energy close behind."
66,6.4453,"Detail Watchdog","Your answers leaned most towards Focus, with Zoom close behind."
57,5.5664,"Trail Finisher","Your answers leaned most towards Focus, with Vision close behind."
53,5.1758,"Wild Trailblazer","Your answers leaned most towards Energy, with Ideas close behind."
50,4.8828,"Sharp Dasher","Your answers leaned most towards Energy, with Zoom close behind."
45,4.3945,"Flash Finder","Your answers leaned most towards Zoom, with Energy close behind."
41,4.0039,"Steady Wonder Maker","Your answers leaned most towards Ideas, with Focus close behind."
36,3.5156,"Wonder Route Scout","Your answers leaned most towards Vision, with Ideas close behind."
34,3.3203,"Story Trail Maker","Your answers leaned most towards Ideas, with Vision close behind."
34,3.3203,"Compass Runner","Your answers leaned most towards Energy, with Vision close behind."
33,3.2227,"The Right Paw","Three powers came out level, so no single one leads. That is exactly what makes you the one every hero wants beside them."
31,3.0273,"Swift Trail Guide","Your answers leaned most towards Vision, with Energy close behind."
20,1.9531,"Bright Dash","Your answers split between Ideas and Energy, with Vision next."
19,1.8555,"Careful Tracker","Your answers split between Focus and Zoom, with Vision next."
19,1.8555,"Spark Builder","Your answers leaned most towards Focus, with Ideas close behind."
17,1.6602,"Careful Tracker","Your answers split between Focus and Zoom, with Ideas next."
16,1.5625,"Route Navigator","Your answers split between Focus and Vision, with Zoom next."
15,1.4648,"Trailwise Spotter","Your answers leaned most towards Zoom, with Vision close behind."
13,1.2695,"Bright Dash","Your answers split between Ideas and Energy, with Zoom next."
13,1.2695,"World Builder","Your answers split between Vision and Ideas, with Energy next."
13,1.2695,"Steady Wayfinder","Your answers leaned most towards Vision, with Focus next."
9,0.8789,"Route Navigator","Your answers split between Focus and Vision, with Ideas next."
9,0.8789,"Lightning Tracker","Your answers split between Zoom and Energy, with Vision next."
8,0.7812,"Oddity Finder","Your answers leaned most towards Zoom, with Ideas close behind."
8,0.7812,"Cluewise Trail Scout","Your answers leaned most towards Vision, with Zoom close behind."
7,0.6836,"Workshop Hound","Your answers split between Focus and Ideas, with Zoom next."
7,0.6836,"Steady Spotter","Your answers leaned most towards Zoom, with Focus next."
7,0.6836,"World Builder","Your answers split between Vision and Ideas, with Focus next."
7,0.6836,"Rocket Maker","Your answers leaned most towards Ideas, with Energy next."
7,0.6836,"Lightning Tracker","Your answers split between Zoom and Energy, with Focus next."
7,0.6836,"Careful Tracker","Your answers split between Focus and Zoom, with Energy next."
7,0.6836,"Curious Clue Maker","Your answers leaned most towards Ideas, with Zoom close behind."
6,0.5859,"Lightning Tracker","Your answers split between Zoom and Energy, with Ideas next."
6,0.5859,"Wonder Route Scout","Your answers leaned most towards Vision, with Ideas next."
6,0.5859,"Swift Trail Guide","Your answers leaned most towards Vision, with Energy next."
6,0.5859,"First Scout","Your answers split between Vision and Energy, with Zoom next."
6,0.5859,"First Scout","Your answers split between Vision and Energy, with Ideas next."
5,0.4883,"Workshop Hound","Your answers split between Focus and Ideas, with Vision next."
5,0.4883,"First Scout","Your answers split between Vision and Energy, with Focus next."
5,0.4883,"Bright Dash","Your answers split between Ideas and Energy, with Focus next."
4,0.3906,"The Whistle","All five powers came out perfectly level. This is the rarest result in the whole game."
4,0.3906,"Steady Starter","Your answers leaned most towards Energy, with Focus close behind."
3,0.2930,"Steady Wonder Maker","Your answers leaned most towards Ideas, with Focus next."
3,0.2930,"Wild Trailblazer","Your answers leaned most towards Energy, with Ideas next."
2,0.1953,"Trail Finisher","Your answers leaned most towards Focus, with Vision next."
2,0.1953,"Puzzle Explorer","Your answers split between Zoom and Ideas, with Focus next."
2,0.1953,"Spark Builder","Your answers leaned most towards Focus, with Ideas next."
2,0.1953,"Whole Trail Reader","Your answers split between Vision and Zoom, with Energy next."
2,0.1953,"Flash Finder","Your answers leaned most towards Zoom, with Energy next."
2,0.1953,"Workshop Hound","Your answers split between Focus and Ideas, with Energy next."
2,0.1953,"Story Trail Maker","Your answers leaned most towards Ideas, with Vision next."
2,0.1953,"Compass Runner","Your answers leaned most towards Energy, with Vision next."
2,0.1953,"Sharp Dasher","Your answers leaned most towards Energy, with Zoom next."
1,0.0977,"Detail Watchdog","Your answers leaned most towards Focus, with Zoom next."
1,0.0977,"Whole Trail Reader","Your answers split between Vision and Zoom, with Focus next."
1,0.0977,"Pack Mover","Your answers split between Focus and Energy, with Zoom next."
